"","unique.ger_masc...1.."
"1266","Feuerwerkskoerper"
"1267","Feuilletonist"
"1268","Fiedler"
"1269","Filialleiter"
"1270","Film"
"1271","Filmproduzent"
"1272","Filmstar"
"1273","Filter"
"1274","Filz"
"1275","Filzhut"
"1276","Filzstift"
"1277","Finalist"
"1278","Financier"
"1279","Finanzier"
"1280","Finanzplan"
"1281","Finder"
"1282","Finderlohn"
"1283","Findling"
"1284","Finger"
"1285","Fingerabdruck"
"1286","Fingerbreit"
"1287","Fingerhut"
"1288","Fingernagel"
"1289","Fingerring"
"1290","Fink"
"1291","Finne"
"1292","Finsterling"
"1293","Firlefanz"
"1294","Firmeninhaber"
"1295","Firn"
"1296","First"
"1297","Fisch"
"1298","Fischadler"
"1299","Fischer"
"1300","Fixstern"
"1301","Fjord"
"1302","Flachkopf"
"1303","Flachlaender"
"1304","Flachs"
"1305","Fladen"
